Mobile_Number,Age,Gender,Appointment_Date,Day_of_Week,Session_Type,Tattoo_Size,Tattoo_Style,Artist_Name,Session_Hours,Final_Rate,Additional_Services,Total_Bill,Payment_Mode,Customer_Satisfaction
3478163327,46,Female,2024-11-15,Friday,Pre-booked,Sleeve/Back,Minimalist,Artist B,9,47647,None,47647,UPI,3
3107420369,32,Male,2024-12-14,Saturday,Walk-in,Small,Custom,Artist C,1,42498,None,42498,Card,2
4181241943,25,Male,2024-11-08,Friday,Pre-booked,Sleeve/Back,Custom,Artist A,10,19778,None,19778,Cash,1
4051802512,38,Female,2024-03-01,Friday,Pre-booked,Medium,Script,Artist D,4,5478,None,5478,Cash,4
3958682846,36,Male,2024-03-06,Wednesday,Pre-booked,Sleeve/Back,Tribal,Artist B,10,32471,Consultation Fee,33471,Card,1
3599310825,40,Male,2024-02-19,Monday,Pre-booked,Medium,Custom,Artist C,4,44910,Consultation Fee,45910,UPI,4
3440213415,28,Other,2024-07-20,Saturday,Walk-in,Small,Realism,Artist C,1,2546,None,2546,Card,3
5342331444,28,Male,2024-07-10,Wednesday,Walk-in,Small,Tribal,Artist A,1,6364,None,6364,UPI,1
3373399426,41,Female,2024-06-22,Saturday,Walk-in,Small,Tribal,Artist D,2,27470,None,27470,Card,1
5536146025,53,Other,2024-10-12,Saturday,Pre-booked,Small,Custom,Artist C,1,45278,Piercing,46778,Card,3
4812140441,41,Male,2024-07-06,Saturday,Walk-in,Small,Custom,Artist B,1,19780,Aftercare Kit,20280,Card,1
3136505587,20,Male,2024-03-14,Thursday,Walk-in,Small,Custom,Artist A,1,45449,None,45449,UPI,4
3127978094,39,Male,2024-04-11,Thursday,Pre-booked,Medium,Realism,Artist D,2,45260,Piercing,46760,Cash,1
3402418010,19,Male,2024-11-04,Monday,Pre-booked,Large,Tribal,Artist C,4,25607,Consultation Fee,26607,Card,4
3939042955,41,Male,2024-09-17,Tuesday,Walk-in,Small,Script,Artist A,1,9070,Aftercare Kit,9570,Cash,2
3999270936,47,Female,2024-07-24,Wednesday,Walk-in,Small,Realism,Artist B,2,3250,None,3250,Card,1
5170484433,19,Male,2024-09-13,Friday,Pre-booked,Medium,Minimalist,Artist D,2,21168,Aftercare Kit,21668,UPI,4
3113971123,38,Male,2024-01-21,Sunday,Walk-in,Small,Custom,Artist C,2,44559,None,44559,Cash,3
5410529190,50,Other,2024-01-24,Wednesday,Walk-in,Small,Tribal,Artist C,1,27331,Aftercare Kit,27831,Card,2
3854001193,29,Female,2024-01-20,Saturday,Walk-in,Small,Realism,Artist B,1,17149,None,17149,Card,1
5340505846,39,Female,2024-03-11,Monday,Pre-booked,Sleeve/Back,Minimalist,Artist C,10,26949,None,26949,UPI,4
4801823908,42,Male,2024-12-31,Tuesday,Walk-in,Large,Realism,Artist B,5,35327,Aftercare Kit,35827,Card,1
3946785248,44,Female,2024-06-19,Wednesday,Pre-booked,Small,Realism,Artist A,2,48510,None,48510,UPI,4
4929338154,45,Male,2024-08-30,Friday,Pre-booked,Medium,Script,Artist C,4,8527,Piercing,10027,UPI,1
5530876844,33,Male,2024-09-22,Sunday,Pre-booked,Medium,Script,Artist D,2,22673,Aftercare Kit,23173,Card,2
4194819984,32,Male,2024-08-21,Wednesday,Walk-in,Medium,Realism,Artist B,2,33762,None,33762,Card,2
3027911967,20,Female,2024-03-17,Sunday,Pre-booked,Medium,Minimalist,Artist B,3,41131,Consultation Fee,42131,Card,1
3685731524,54,Male,2024-11-06,Wednesday,Pre-booked,Medium,Tribal,Artist C,4,36836,Consultation Fee,37836,UPI,1
4815115025,24,Male,2024-09-20,Friday,Pre-booked,Small,Tribal,Artist B,2,7768,Aftercare Kit,8268,Cash,5
4461364854,38,Male,2024-03-12,Tuesday,Pre-booked,Small,Custom,Artist D,2,14217,Consultation Fee,15217,Card,1
4193448329,26,Male,2024-06-16,Sunday,Pre-booked,Medium,Custom,Artist C,3,15033,None,15033,UPI,1
3667779376,35,Female,2024-11-09,Saturday,Pre-booked,Large,Tribal,Artist A,6,34810,Consultation Fee,35810,Card,2
3924765563,21,Female,2024-06-12,Wednesday,Pre-booked,Medium,Realism,Artist D,3,32014,None,32014,Card,1
4445662585,42,Female,2024-03-24,Sunday,Pre-booked,Large,Realism,Artist C,4,38745,None,38745,Card,3
3438989805,31,Male,2024-07-20,Saturday,Walk-in,Sleeve/Back,Script,Artist D,10,48692,Aftercare Kit,49192,Cash,1
3398340369,26,Male,2024-11-11,Monday,Walk-in,Small,Script,Artist C,2,3408,Aftercare Kit,3908,Card,5
4631775357,43,Male,2024-06-02,Sunday,Walk-in,Medium,Custom,Artist D,2,4605,None,4605,Card,4
3415393687,19,Male,2024-10-30,Wednesday,Pre-booked,Medium,Tribal,Artist A,3,18213,Consultation Fee,19213,UPI,2
4541804686,37,Male,2024-06-21,Friday,Pre-booked,Sleeve/Back,Realism,Artist B,7,36695,Aftercare Kit,37195,Cash,3
4477278577,45,Female,2024-09-16,Monday,Pre-booked,Sleeve/Back,Tribal,Artist D,7,21983,Piercing,23483,UPI,4
4136108454,24,Male,2024-09-17,Tuesday,Pre-booked,Medium,Minimalist,Artist A,4,23860,None,23860,UPI,3
3186618211,25,Male,2024-09-29,Sunday,Pre-booked,Small,Tribal,Artist A,1,34108,None,34108,Cash,2
4973214822,52,Male,2024-09-07,Saturday,Pre-booked,Large,Minimalist,Artist C,4,27781,Aftercare Kit,28281,UPI,5
5303082117,31,Male,2024-12-28,Saturday,Walk-in,Small,Script,Artist D,1,12289,Aftercare Kit,12789,Cash,2
3536124280,34,Male,2024-10-15,Tuesday,Pre-booked,Large,Script,Artist A,5,3204,None,3204,UPI,3
4625792787,53,Other,2024-06-02,Sunday,Walk-in,Sleeve/Back,Custom,Artist D,10,24726,None,24726,UPI,3
3338444264,21,Female,2024-08-31,Saturday,Walk-in,Small,Tribal,Artist C,2,46847,None,46847,Cash,2
5370996465,19,Female,2024-01-09,Tuesday,Walk-in,Medium,Tribal,Artist B,3,25062,None,25062,Cash,1
4259191105,23,Male,2024-07-07,Sunday,Walk-in,Medium,Minimalist,Artist D,3,25290,Consultation Fee,26290,Card,2
4553210608,21,Male,2024-06-18,Tuesday,Pre-booked,Medium,Script,Artist B,3,42975,None,42975,Card,5
